oType,Strike,Contract Name,Last Price,Bid,Ask
Call,100,IBM170421C00100000,52.6,0,0
Call,105,IBM170421C00105000,72.37,71.5,76.05
Call,120,IBM170421C00120000,58.2,56.6,61.1
Call,125,IBM170421C00125000,55.7,54.45,54.95
Call,130,IBM170421C00130000,52.35,48.55,52.2
Call,135,IBM170421C00135000,41.7,42.15,46.15
Call,140,IBM170421C00140000,39.5,0,0
Call,145,IBM170421C00145000,31.65,29.1,32.75
Call,150,IBM170421C00150000,30.3,0,0
Call,155,IBM170421C00155000,23.38,24.3,24.75
Call,160,IBM170421C00160000,16.43,15.6,16.4
Call,165,IBM170421C00165000,11.7,11.5,11.85
Call,170,IBM170421C00170000,7.55,7.4,7.65
Call,175,IBM170421C00175000,4.35,4.1,4.3
Call,180,IBM170421C00180000,1.97,1.9,1.98
Call,185,IBM170421C00185000,0.79,0.7,0.79
Call,190,IBM170421C00190000,0.26,0.24,0.29
Call,195,IBM170421C00195000,0.09,0.06,0.13
Call,200,IBM170421C00200000,0.07,0.01,0.07
Call,205,IBM170421C00205000,0.03,0,0.04
Call,210,IBM170421C00210000,0.03,0,0.03
Call,215,IBM170421C00215000,0.01,0,0.02
Call,220,IBM170421C00220000,0.01,0,0.02
Call,225,IBM170421C00225000,0.01,0,0.01
Put,80,IBM170421P00080000,0.01,0,0.04
Put,85,IBM170421P00085000,0.01,0,0.04
Put,90,IBM170421P00090000,0.02,0,0.04
Put,95,IBM170421P00095000,0.03,0.01,0.07
Put,100,IBM170421P00100000,0.01,0,0.01
Put,105,IBM170421P00105000,0.01,0,0
Put,110,IBM170421P00110000,0.01,0,0.01
Put,115,IBM170421P00115000,0.01,0,0.01
Put,120,IBM170421P00120000,0.01,0,0.01
Put,125,IBM170421P00125000,0.01,0,0.01
Put,130,IBM170421P00130000,0.02,0,0.01
Put,135,IBM170421P00135000,0.01,0,0.02
Put,140,IBM170421P00140000,0.03,0,0.03
Put,145,IBM170421P00145000,0.04,0.02,0.04
Put,150,IBM170421P00150000,0.08,0.04,0.12
Put,155,IBM170421P00155000,0.15,0.15,0.21
Put,160,IBM170421P00160000,0.32,0.33,0.4
Put,165,IBM170421P00165000,0.72,0.64,0.8
Put,170,IBM170421P00170000,1.53,1.58,1.67
Put,175,IBM170421P00175000,3.2,3.3,3.4
Put,180,IBM170421P00180000,5.9,6.05,6.2
Put,185,IBM170421P00185000,9.31,9.7,10.05
Put,190,IBM170421P00190000,13.15,13.05,15.05
Put,195,IBM170421P00195000,19.1,18.75,20.55
Put,200,IBM170421P00200000,18.8,18.6,19.3
Put,210,IBM170421P00210000,37.53,33.2,37.9
Put,220,IBM170421P00220000,45.63,43.8,48
